Id,Nombre d'étoiles,Commentaire,Date,Répondu
0,5,"Juste ce qu'il faut.Pas évident de trouver en ligne 1 carton pour emballer 1 item. Des lots de 100 ou 1000 pièces beaucoup plus simple.Donc Carton Market vous vend la piéce qu'il vous faut, de bonne qualité, pour un prix raisonable, et l'envoye immédiatement. Je suis très content.",15 novembre 2022,0
1,4,"Livraison correcte et complète.Bonsoir. Tout comme les autres livraisons, parfait pour les livraisons rapides avec la réception de colis en très bon état. Seulement, il manque la fiche récapitulative sur le contenu du colis, facilement accessible car le livreur est surtout pressé de repartir. Le jour où il y aura un souci sur la composition de la commande, comment cela se passera t-il ? Surtout que vous stipulez de vérifier le colis avant d'en prendre la livraison... Il serait souhaitable que le livreur participe à ce contrôle en les ouvrant et en les vérifiant avec le destinataire. Laisser le temps à ce dernier car il est surtout pressé de repartir pour livrer son prochain colis.",15 novembre 2022,0
2,5,Commande arrivée rapidement et en bon…Commande arrivée rapidement et en bon état.Les cartons étaient parfaits pour l’usage que j’en avais.Il n’y a que le carton pour les verres qui n’était pas vraiment adapté à mes verres en cristal. Il manquait un tout petit peu de hauteur et un plus de largeur à chaque compartiment.,01 novembre 2022,0
3,4,Bonne dans l’ensemble un peu plus de…Bonne dans l’ensemble un peu plus de cartons pour verres et assiettes serait souhaitable.Sinon satisfaite pour le délai de livraison et la livraison aussi.,15 novembre 2022,0
4,4,Très contente de ma commandeTrès contente de ma commande. Par contre les informations concernant la livraison n'étaient pas vraiment disponible au moment adéquat.,21 novembre 2022,0
5,5,J’ai reçu les cartons sans problème…J’ai reçu les cartons sans problème apparent mais ils sont toujours pliés car ils n’ont pas encore servi.,17 novembre 2022,0
6,4,Commande reçue rapidement. Conforme.Commande reçue rapidement. Qualité OK.J'enlève une étoile car un des colis a été abîmé (un trou) pendant le transport. Je n'ai pas fait de réclamation et ai utilisé les 3 cartons abîmés comme plaque de protection.,30 octobre 2022,0
7,3,Carton assez épais pour les petites…Carton assez épais pour les petites boites mais insuffisant pour les grandes... mais dans l'ensemble articles corrects...,19 novembre 2022,0
8,4,"Les deux livraisons sont intervenues…Les deux livraisons sont intervenues rapidement /Commande du 27/10/2022 livrée le 28/10/2022 et celle du 02/11/2022 livrée le 04/11/2022.Toutefois, j'ai été obligée de monter moi-même les cartons au 3ème étage.Les deux chauffeurs n'ont pas voulu le faire car il n'y a pas d'ascenseur. C'est peut-être au transporteur qu'il faudrait adresser cette remarque.Heureusement, mes voisines sont plus serviables !",04 novembre 2022,0
9,2,"Livraison non sérieuse …On vous annonce une livraison le samedi entre 08h30 et 11h30. Rien aucun livreur, aucune nouvelle. On relance la livraison le lundi sans nous prévenir avant sauf dans la matinée alors que je suis au travail. Votre carton de livraison est endommagé et la bande de sécurité est trop légère et se déchire trop rapidement. Voilà Merci",05 novembre 2022,0
10,5,"Tout est ok, mais emballage colis un peu légerEmballage colis un peu léger, mais commande conforme livrée en temps et en heure.",17 novembre 2022,0
11,5,Parfait très rapide maison très…Parfait très rapide maison très sérieuse je recommence les yeux fermés 👍,17 novembre 2022,0
12,1,"la livraison c'est très bien passéela livraison c'est très bien passée, mais comme par hasard elle ne comportait pas les 2 rouleaux de bandes collantes qui avaient été prévue dans la commande.",10 novembre 2022,0
13,5,Produits conformes à la description du…Produits conformes à la description du catalogue trouvé sur le site.Livraison effectuée dans les délais et selon les modifications demandées.,10 novembre 2022,0
14,5,"ParfaitParfait, commande traitée très rapidement, expédition très rapide. DPD moins par contre, une gestion catastrophique de la livraison, une journée d'attente pour un colis qui n'a finalement pas été livré...",03 novembre 2022,0
15,5,"très bienpas cher, bonne qualité  et vite livré - on a besoin de ce genre de partenaires pour le e-commerce.",14 novembre 2022,0
16,5,Les produits en carton double épaisseur…Les produits en carton double épaisseur très utile pour charge plus importante.Facilité de commande et délais de livraison.Site à recommander.,14 novembre 2022,0
17,5,Livraison rapideLivraison rapide et le pack carton commande était lui même bien emballe dans un grand carton donc bien protégé d'éventuelles poussières ou intempéries au moment du transfert camion domicile.,02 novembre 2022,0
18,2,Qualité changéeBonjour Alors je commande mes emballages pour mon activité depuis plusieurs mois et jamais rien eu à redire entre qualité des cartons et service d'expédition au top Malheureusement cette fois les service d'expédition au top comme d'habitude mais grosse déception la qualité des cartons quasiment inutilisable tellement le carton est fin et mou Donc ils ont changé leurs produits sans aviser et je me retrouve avec des dizaines de d'emballage de mauvaise qualité J'aurais limite préféré payer un peu plus cher pour l'ancienne version Donc déçue Si vous transportez des choses un peu lourdes comme des flacons cosmétiques en verre ou pots  comme moi faites attention à ce détail important,09 novembre 2022,0
19,5,"ParfaitLa livraison est très rapide. Commande le 15 , livraison le 16 novembre. C’est extraordinaire !!Je recommande .",16 novembre 2022,0
20,3,"Bien mais améliorer la livraison jusqu’à l’étage.Cartons de bonne qualité contrairement à ce qu’on trouve dans les magasins de Bricolage, bien livrés et bien emballés. Mais le livreur ne monte pas le colis, il faut aller le chercher en bas de l’immeuble. Pas simple quand c’est un gros colis…",27 septembre 2022,0
21,3,"J’ai attendu le colis toute la matinée…J’ai attendu le colis toute la matinée pour me dire d’aller le chercher dans un point relais en accord avec le livreur que je n’ai jamais vu ni entendu. J’ai payé pour être livré à domicile. Puis vous m’avez écrit pour me dire que le colis m’a été livré à mon adresse (???) Pour une première expérience c’est plutôt raté et en plus se moquer du monde, j’aurais du mettre une étoile rouge.",25 octobre 2022,0
22,5,Rapide et de qualitéBon prixTrès bonne qualité Livraison rapideGrand choix,22 novembre 2022,0
23,5,Rien à direLivraison rapide et conforme. Emballages bien emballés!,11 novembre 2022,0
24,5,"Tout est parfaitSite Web clair, produits correspondant parfaitement à la commande et livraison très rapide",16 novembre 2022,0
25,5,Livraison cartons demenagemrntcLivraison rapide et produits conformes à mes attentes,14 novembre 2022,0
26,5,La personne que j'ai eu au téléphone a…La personne que j'ai eu au téléphone a été très serviable et sérieuseLivraison rapide et sérieux de votre société...,02 novembre 2022,0
27,5,De bons cartons avec poignées fournis…De bons cartons avec poignées fournis dans les délais annoncés et très rapides. Merci,03 novembre 2022,0
28,3,Pack pour T4Le nombre de cartons spécifiques à la vaisselle est trop insuffisant comparé aux autres cartons dans le pack. De plus les rouleaux de scotch ne sont pas suffisants/ nombre de cartons. Globalement le contenu du pack revendiqué pour le déménagement d’un T4 n’est pas suffisant.,31 octobre 2022,0
29,4,"Très bon temps de réactivité entre la…Très bon temps de réactivité entre la commande et la mise en livraison par contre le choix du transporteur est important DPD est bien mais GLS pas terrible, créneau non respecté et pas de sms avant passage.",04 novembre 2022,0
30,5,Expédition rapideTrès satisfaite par ma première commande effectuée le 26 octobre dernier reçue le lendemain. Expédition rapide. Les cartons sont très bien conditionnés.,27 octobre 2022,0
31,5,Livraison très rapide et la qualité des…Livraison très rapide et la qualité des produits est à mettre en avant.,18 novembre 2022,0
32,5,"Belle aide au déménagement !Livreur très sérieux, on lui avait donné un mauvais numéro de téléphone et il a réussi à venir me livrer...Produits toujours de bonne qualité, trés pratique, respectueux de l'environnement.Avec toutes ces sortes d'emballages spécifiques, ça facilite vraiment les déménagements et pas d'objets abîmés (même les plus fragiles) pendant le transport.",17 octobre 2022,0
33,5,"Fiable et efficaceDisponibilité du service client pour répondre à toutes les questions et envoi immédiat des cartons manquants dans la livraison de notre ""grosse"" commande.Je n'hésiterais pas à recommander ce fournisseur.Efficace.",26 octobre 2022,0
34,5,"Quelle magnifique expérienceQuelle magnifique expérience. Bravo. Qualité, rapidité et un choix important de tailles de cartons pour tout type d’objets.",09 novembre 2022,0
35,5,"Articles conformes à mes attentes et…Articles conformes à mes attentes et livraison toujours aussi rapide, merci !",16 novembre 2022,0
36,5,Rapide et efficaceLivré moins de 48h après avoir passé la commande.le tout bien emballé. Impec,08 novembre 2022,0
37,5,Qualité et rapidité au rdvCela fait deux fois que je commande chez carton Market. Le choix est complet pour un déménagement de qualité et livraison très rapide.les cartons penderie sont fabuleux pour déménager les manteaux en une seule fois bref que du bonheur,28 octobre 2022,0
38,5,"Très  bonne expérienceTrès  bonne expérience Cartons adaptés à ce que l'on souhaite faire , ce qui entraîne des objets en sécurité  pendant le déménagement et nous fait gagner un temps précieux",31 octobre 2022,0
39,5,Livraison rapide et aux horaires annoncésEnvoi très rapide du colis. Horaire de livraison respecté. Le matériel livré correspond bien à la description.,29 octobre 2022,0
40,5,"Les cartons sont de bonne qualitéLes cartons sont de bonne qualité, il y a vraiment plusieurs modèles adaptés à  toutes sortes de vaisselle.la livraison est très rapide.",25 octobre 2022,0
41,5,"Carton solides, de la bonne qualitéNous avons acheté le kit de déménagement T2 et il était super, il nous a bien aidé. L’ensemble des éléments nécessaires pour un déménagement était bien présent et de bonne qualité surtout. Je recommande fortement . En plus l’expédition a été très rapide",15 octobre 2022,0
42,5,"Très satisfaite ✅️✅️✅️Beaucoup de choix de matériel d'emballage. J'ai reçu ma commande très rapidement. J'ai commandé un rouleau de carton ondulé et il était très bien emballé, je l'ai reçu sans défaut. Je suis très satisfaite et je n'hésiterai pas à repasser commande !",11 octobre 2022,0
43,2,Très déçu pour la qualité du produit.Très déçu pour la qualité du produit.La qualite du carton est très mauvaise et le prix très élevé. Erreur aussi dans la quantité des produits. Rembourse très rapidement.L’envoie très rapide et l’accueil téléphonique ok.,19 octobre 2022,0
44,5,Articles conformes à sa descriptionArticles conformes à sa description et livraison rapide,04 novembre 2022,0
45,3,"Papier bulle de qualité très moyennePapier bulle de qualité très moyenne. Trop fin, protection moyenne, je dois tout doubler",10 novembre 2022,0
46,5,"Voilà plus de 10 ans que je suis…Voilà plus de 10 ans que je suis cliente chez Carton Market.A chaque déménagement, je vais sur mon compte client et choisi mes cartons, papier bulles, scotch et autres. Le paiement en ligne effectué et la livraison arrive en 2 jours. Ce site offre un service très rapide. La dernière fois que j'ai commandé, j'avais oublié de changer mon adresse de livraison...grosse panique !J'ai envoyé un mail en soirée et le lendemain matin,jai eu l'agréable surprise de voir une réponse par mail comme quoi tout était corrigé.Depuis, j'ai reçu les articles choisis    à domicile.Je vous recommande vivement ce site pour préparer tranquillement un déménagement. Une fidèle cliente. Claire",20 octobre 2022,0
47,5,"Bon rapport qualité prixLivraison rapide, accueil téléphonique agréable et efficace, pour la 3ème fois que je commande sur ce site toujours satisfait.",02 novembre 2022,0
